PLAYER,TYPE,PRICE PAID,TEAM
Krishnappa Gowtham,All-Rounder,"9,25,00,000",Chennai Super Kings
Moeen Ali,All-Rounder,"7,00,00,000",Chennai Super Kings
Cheteshwar Pujara,Batsman,"50,00,000",Chennai Super Kings
K.Bhagath Varma,All-Rounder,"20,00,000",Chennai Super Kings
C Hari Nishaanth,Batsman,"20,00,000",Chennai Super Kings
M. Harisankar Reddy,Bowler,"20,00,000",Chennai Super Kings
Tom Curran,All-Rounder,"5,25,00,000",Delhi Capitals
Steven Smith,Batsman,"2,20,00,000",Delhi Capitals
Sam Billings,Wicket Keeper,"2,00,00,000",Delhi Capitals
Umesh Yadav,Bowler,"1,00,00,000",Delhi Capitals
Ripal Patel,All-Rounder,"20,00,000",Delhi Capitals
Vishnu Vinod,Wicket Keeper,"20,00,000",Delhi Capitals
Lukman Hussain Meriwala,Bowler,"20,00,000",Delhi Capitals
M Siddharth,Bowler,"20,00,000",Delhi Capitals
Shakib Al Hasan,All-Rounder,"3,20,00,000",Kolkata Knight Riders
Harbhajan Singh,Bowler,"2,00,00,000",Kolkata Knight Riders
Ben Cutting,All-Rounder,"75,00,000",Kolkata Knight Riders
Karun Nair,Batsman,"50,00,000",Kolkata Knight Riders
Pawan Negi,All-Rounder,"50,00,000",Kolkata Knight Riders
Venkatesh Iyer,All-Rounder,"20,00,000",Kolkata Knight Riders
Sheldon Jackson,Wicket Keeper,"20,00,000",Kolkata Knight Riders
Vaibhav Arora,Bowler,"20,00,000",Kolkata Knight Riders
Nathan Coulter-Nile,Bowler,"5,00,00,000",Mumbai Indians
Adam Milne,Bowler,"3,20,00,000",Mumbai Indians
Piyush Chawla,Bowler,"2,40,00,000",Mumbai Indians
James Neesham,All-Rounder,"50,00,000",Mumbai Indians
Yudhvir Charak,All-Rounder,"20,00,000",Mumbai Indians
Marco Jansen,All-Rounder,"20,00,000",Mumbai Indians
Arjun Tendulkar,All-Rounder,"20,00,000",Mumbai Indians
Jhye Richardson,Bowler,"14,00,00,000",Punjab Kings
Riley Meredith,Bowler,"8,00,00,000",Punjab Kings
Shahrukh Khan,All-Rounder,"5,25,00,000",Punjab Kings
Moises Henriques,All-Rounder,"4,20,00,000",Punjab Kings
Dawid Malan,All-Rounder,"1,50,00,000",Punjab Kings
Fabian Allen,All-Rounder,"75,00,000",Punjab Kings
Jalaj Saxena,All-Rounder,"30,00,000",Punjab Kings
Saurabh Kumar,All-Rounder,"20,00,000",Punjab Kings
Utkarsh Singh,All-Rounder,"20,00,000",Punjab Kings
Christopher Morris,All-Rounder,"16,25,00,000",Rajasthan Royals
Shivam Dube,All-Rounder,"4,40,00,000",Rajasthan Royals
Chetan Sakariya,Bowler,"1,20,00,000",Rajasthan Royals
Mustafizur Rahman,Bowler,"1,00,00,000",Rajasthan Royals
Liam Livingstone,All-Rounder,"75,00,000",Rajasthan Royals
K.C Cariappa,Bowler,"20,00,000",Rajasthan Royals
Akash Singh,Bowler,"20,00,000",Rajasthan Royals
Kuldip Yadav,Bowler,"20,00,000",Rajasthan Royals
Kyle Jamieson,All-Rounder,"15,00,00,000",Royal Challengers Bangalore
Glenn Maxwell,All-Rounder,"14,25,00,000",Royal Challengers Bangalore
Dan Christian,All-Rounder,"4,80,00,000",Royal Challengers Bangalore
Sachin Baby,Batsman,"20,00,000",Royal Challengers Bangalore
Rajat Patidar,Batsman,"20,00,000",Royal Challengers Bangalore
Mohammed Azharudeen,Wicket Keeper,"20,00,000",Royal Challengers Bangalore
Suyash Prabhudesai,All-Rounder,"20,00,000",Royal Challengers Bangalore
Kona Srikar Bharat,Wicket Keeper,"20,00,000",Royal Challengers Bangalore
Kedar Jadhav,All-Rounder,"2,00,00,000",Sunrisers Hyderabad
Mujeeb Zadran,Bowler,"1,50,00,000",Sunrisers Hyderabad
J Suchith,Bowler,"30,00,000",Sunrisers Hyderabad
